| Méthode | Route                                                                                   |
| GET     | /api/                                                                                   |
| GET     | /api/projects                                                                           |
| POST    | /api/projects                                                                           |
| GET     | /api/projects/{project\_id}                                                             |
| PATCH   | /api/projects/{project\_id}                                                             |
| DELETE  | /api/projects/{project\_id}                                                             |
| GET     | /api/projects/{project\_id}/environments                                                |
| POST    | /api/projects/{project\_id}/environments                                                |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}                              |
| PATCH   | /api/projects/{project\_id}/environments/{environment\_id}                              |
| DELETE  | /api/projects/{project\_id}/environments/{environment\_id}                              |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/activities                   |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/routes                       |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/variables                    |
| POST    | /api/projects/{project\_id}/environments/{environment\_id}/variables                    |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/variables/{variable\_id}     |
| PATCH   | /api/projects/{project\_id}/environments/{environment\_id}/variables/{variable\_id}     |
| DELETE  | /api/projects/{project\_id}/environments/{environment\_id}/variables/{variable\_id}     |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/users                        |
| POST    | /api/projects/{project\_id}/environments/{environment\_id}/users                        |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/users/{user\_id}             |
| PATCH   | /api/projects/{project\_id}/environments/{environment\_id}/users/{user\_id}             |
| DELETE  | /api/projects/{project\_id}/environments/{environment\_id}/users/{user\_id}             |
| GET     | /api/projects/{project\_id}/integrations                                                |
| POST    | /api/projects/{project\_id}/integrations                                                |
| GET     | /api/projects/{project\_id}/integrations/{integration\_id}                              |
| PATCH   | /api/projects/{project\_id}/integrations/{integration\_id}                              |
| DELETE  | /api/projects/{project\_id}/integrations/{integration\_id}                              |
| GET     | /api/projects/{project\_id}/domains                                                     |
| POST    | /api/projects/{project\_id}/domains                                                     |
| GET     | /api/projects/{project\_id}/domains/{domain\_id}                                        |
| PATCH   | /api/projects/{project\_id}/domains/{domain\_id}                                        |
| DELETE  | /api/projects/{project\_id}/domains/{domain\_id}                                        |
| GET     | /api/projects/{project\_id}/certificates                                                |
| POST    | /api/projects/{project\_id}/certificates                                                |
| GET     | /api/projects/{project\_id}/certificates/{certificate\_id}                              |
| PATCH   | /api/projects/{project\_id}/certificates/{certificate\_id}                              |
| DELETE  | /api/projects/{project\_id}/certificates/{certificate\_id}                              |
| GET     | /api/projects/{project\_id}/backups                                                     |
| POST    | /api/projects/{project\_id}/backups                                                     |
| GET     | /api/projects/{project\_id}/backups/{backup\_id}                                        |
| DELETE  | /api/projects/{project\_id}/backups/{backup\_id}                                        |
| GET     | /api/projects/{project\_id}/activities                                                  |
| GET     | /api/projects/{project\_id}/activities/{activity\_id}                                   |
| GET     | /api/projects/{project\_id}/commits                                                     |
| GET     | /api/projects/{project\_id}/commits/{commit\_id}                                        |
| GET     | /api/projects/{project\_id}/users                                                       |
| POST    | /api/projects/{project\_id}/users                                                       |
| GET     | /api/projects/{project\_id}/users/{user\_id}                                            |
| PATCH   | /api/projects/{project\_id}/users/{user\_id}                                            |
| DELETE  | /api/projects/{project\_id}/users/{user\_id}                                            |
| GET     | /api/projects/{project\_id}/variables                                                   |
| POST    | /api/projects/{project\_id}/variables                                                   |
| GET     | /api/projects/{project\_id}/variables/{variable\_id}                                    |
| PATCH   | /api/projects/{project\_id}/variables/{variable\_id}                                    |
| DELETE  | /api/projects/{project\_id}/variables/{variable\_id}                                    |
| GET     | /api/projects/{project\_id}/services                                                    |
| GET     | /api/projects/{project\_id}/services/{service\_id}                                      |
| GET     | /api/projects/{project\_id}/services/{service\_id}/backups                              |
| POST    | /api/projects/{project\_id}/services/{service\_id}/backups                              |
| GET     | /api/projects/{project\_id}/services/{service\_id}/backups/{backup\_id}                 |
| DELETE  | /api/projects/{project\_id}/services/{service\_id}/backups/{backup\_id}                 |
| GET     | /api/projects/{project\_id}/services/{service\_id}/variables                            |
| POST    | /api/projects/{project\_id}/services/{service\_id}/variables                            |
| GET     | /api/projects/{project\_id}/services/{service\_id}/variables/{variable\_id}             |
| PATCH   | /api/projects/{project\_id}/services/{service\_id}/variables/{variable\_id}             |
| DELETE  | /api/projects/{project\_id}/services/{service\_id}/variables/{variable\_id}             |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/deployments                  |
| POST    | /api/projects/{project\_id}/environments/{environment\_id}/deployments                  |
| GET     | /api/projects/{project\_id}/environments/{environment\_id}/deployments/{deployment\_id} |
| DELETE  | /api/projects/{project\_id}/environments/{environment\_id}/deployments/{deployment\_id} | 
